,datetime,city,state,country,shape,duration_s,hours,comments,date_p,latitude,longitude
13606,11/22/2003 21:00,n. ridgeville,oh,us,cigar,2400,40 minutes,Huge white cigar shaped craft hovered in my front yard for an extended period of time.,12/9/2003,41.389491,-82.019032
13613,11/22/2004 06:10,san francisco,ct,us,,3,2-3 seconds,Two bright lights in the southeastern sky that waxed and waned in brightness in unison.,12/3/2004,32.756638,-97.14613100000001
13619,11/22/2005 04:00,hemet/south jacinto (outside of),ca,us,light,604800,1 week,Bright light coming out of a shallow mountain&#33,12/16/2005,33.758728000000005,-116.958712
13625,11/22/2005 18:40,james island,sc,us,other,1500,25 minutes,I WAS SHOOTING THE BULL WITH SOME OF MY NEIGHBORS THAT OUR FRIENDS OF MINE AND WE SAW SOME EXCITING UFOS.,5/15/2006,32.753471999999995,-79.952845
13630,11/22/2005 19:40,james island,sc,us,other,2700,45 minutes,ME AND MY NEIGHBOR WERE HANGING OUT WE SAW SOME EXITING UFO.  ((NUFORC Note:  Possible hoax?  PD)),10/31/2008,32.753471999999995,-79.952845
13638,11/22/2005 22:00,ledegem (belgium),,be,,7200,a few hours&#44 did not cont,Gentlemen&#44  my person saw at the date and time ( could be I missed a few hours or a day because it was in the distance ) a non moving,12/16/2005,50.854957,3.127457
13644,11/22/2005 23:50,beynes (france),,fr,triangle,3600,1 hour or more,Full Description of event/sighting: What appears to be directly or very close to the National Police/Military Special Forces training c,12/16/2005,48.852845,1.874855
13648,11/22/2006 01:25,uk/england (in flight),,gb,unknown,5,5 seconds,2 flying objects close to England in front of the airplane,3/31/2008,52.355518,-1.17432
13661,11/22/2007 12:00,sommerset,oh,us,cylinder,0,0,I was in Ohio to visit some friends. We saw some beautiful trees and I stopped to take some pictures of them.It wasn&#39t until recent,8/12/2008,39.807012,-82.297094
13663,11/22/2007 19:00,land o&#39lakes,fl,us,light,20,20 sec,Dim fireball at stand still&#44 then it took off upward very fast.,3/4/2008,28.198096000000003,-82.432994
13665,11/22/2007 20:00,delran,nj,us,oval,300,5 minutes,It proceeded slowly towards the west..had 2 bright lights and 2 red lights and disappeared. My daughter told me of a similar sighting t,11/28/2007,40.015892,-74.956425
13678,11/22/2008 19:00,peacehaven (uk/england),,gb,light,15,15seconds,lights in sky in peacehaven,1/10/2009,50.793209000000004,-0.005174
13680,11/22/2008 19:05,scottish borders (uk/scotland),,gb,unknown,600,10 minutes,three orange lights over the Scottish Borders,1/10/2009,55.54857,-2.786139
13681,11/22/2008 19:30,bangalore (india),,in,circle,1500,25 minutes,Bright lighted object seen at Bangalore 22nd November 2008,1/10/2009,12.971599000000001,77.594563
13686,11/22/2009 00:00,kuwait,,kw,light,5,5 sec,one light over Camp LSA&#44 Kuwait; moving fast - made a &quot;z&quot; maneuver.,12/12/2009,29.311659999999996,47.481766
13688,11/22/2009 05:30,old eddyville,ky,us,unknown,0,continuing,I thought it was a start&#44 to begin with&#44 and possibly the fog or mist  was rising over lake to make it &quot;flicker&quot;&#44 but it is clear.,12/12/2009,37.489922,-88.557237
13695,11/22/2009 22:55,johannesburg (south africa),,,fireball,60,1 minute,Massive fireball turns night in to day in Johannesburg,12/12/2009,0.0,0.0
13696,11/22/2009 23:00,homestead and miami (between),fl,us,flash,5,about 5 seconds,Three rainbow colored prisms in  teardrop shapes came out of no where and vanished over a bay between Homestead and Miami.,12/12/2009,25.474449,-80.474193
13709,11/22/2011 02:10,baku (azerbaijan),,az,cigar,20,20 seconds,Baku Fir north of bekir point,12/12/2011,40.43495,49.867622999999995
13722,11/22/2012 01:00,sts albans,me,us,fireball,2,few seconds,Bright white and red fireball shot downwards in the sky&#44 very big.,12/20/2012,44.910061,-69.410048
13723,11/22/2012 01:30,cape town (south africa),,za,,120,2 minutes,MOON SIZED OBJECT SEEN.,12/20/2012,-33.924868,18.424055
13725,11/22/2012 02:00,south nayack (tarrytown),ny,us,light,2,2 seconds,Light speed blue craft over NY.,12/20/2012,41.083152,-73.920137
13740,11/22/2012 19:15,east goshen,pa,us,formation,120,2 minutes,7-8 orange red lights in formation,12/20/2012,40.000496000000005,-75.56260400000001
13741,11/22/2012 19:15,sandy,ut,us,other,600,10 minutes,4 orange and 1 red orb filmed assending one at a time and taking off over mtn in Utah.,12/20/2012,40.5725,-111.85972199999999
13769,11/22/2013 16:45,cecil co. (northeast md),md,us,oval,2,a few seconds,Brilliant blue flattened oval&#44 small&#44 about tree-top level.,12/2/2013,39.57394,-75.946324
13774,11/22/2013 19:00,west sumatra (indonesia),,id,oval,3600,1 hour,Oval shape craft with lights around attached to the craft. with haze.,12/2/2013,-0.589724,101.343106
13775,11/22/2013 19:30,quintana roo (secrets capri) (mexico),,mx,formation,60,60 seconds,Our first night in Cancun&#44 we randomly ended up having dinner outside.  My wife (completely not a UFO believer) happened to notice some,12/2/2013,19.181739,-88.479138
13787,11/23/1963 18:00,uss kearsarge (at sea&#44 out of japan),,,chevron,300,5 minutes,Observed 5 lights in a inverted &quot;V&quot; rise from the horizon&#44 hover for a few minutes and then sink back down below the horizon. We were a,6/2/1998,0.0,0.0
13791,11/23/1981 20:30,pacifica/lindamar,ca,us,changing,420,7 minutes,Two space craft in air&#44 sitting motionless with no sound,6/12/2002,36.778261,-119.41793200000001
13792,11/23/1982 15:45,clinton township,mi,us,circle,420,7 min,disk about 40 feet in dia. a ring of round lights about the egdes. moved slowly&#44 no sound&#44 75 feet of the ground,2/14/2006,42.586888,-82.919551
13801,11/23/1995 01:00,gaithersberg,md,us,formation,75,15sec-1min,November&#44 1995 sighting of a red &quot;V&quot; formation followed by a wavy string of greenish lights.,1/11/2005,39.143440999999996,-77.20137
13822,11/23/1999 19:00,moon (near the moon surface),,,cigar,3,3 seconds,Observing the moon with binoculars.  Shape crossed so near the moon&#39s surface that it casted a shadow on the moon as it passed - HUGE &#33,11/30/1999,0.0,0.0
13824,11/23/1999 21:00,central,ok,,other,120,2 minutes,3 boys were driving down a road in the country&#44 they came to a &quot;T&quot; in the road&#44 as they looked to the west they saw 8 very bright light,11/30/1999,0.0,0.0
13829,11/23/2000 14:00,new zealand,,nz,oval,0,,couldn&#39t see with the eyes but got it on film,3/6/2001,-40.900557,174.88597099999998
13832,11/23/2000 18:37,el paso and alamogordo (between ),nm,us,cigar,180,3 minutes,A dark cigar-shaped object with no lights that was at least 100 meters wide.,12/2/2000,32.895764,-105.98015600000001
13848,11/23/2002 05:00,lost river,wv,us,disk,3600,1hour,The object appeared in the southwestern sky and appeared to be a star at first glance. What made me more curious was the fact that it w,12/23/2002,38.956131,-78.805797
13850,11/23/2002 07:25,oud-heverlee (belgium),,be,other,1,1 second,A full oval illuminated ball motioned at low altitude,12/23/2002,50.837165,4.663337
13855,11/23/2002 20:45,philippines,,ph,unknown,900,15 min,It was night of the month of november&#44 there was an electric failure&#44 so the whole place was dark. Me and my sister are fond of looking,12/9/2003,12.879721,121.77401699999999
13857,11/23/2002 21:09,mexico (coastal waters&#44 west),,,unknown,5,5 seconds,Soundless flashing object crosses sky in 5 seconds&#44 ENE to WSW,12/23/2002,0.0,0.0
13874,11/23/2004 19:00,puerto vallarta (mexico),,mx,circle,120,a few minutes,Large spheric objects in the sky.,12/3/2004,20.653407,-105.22533200000001
13879,11/23/2005 19:00,frankin,ny,us,unknown,300,5 minutes,Two white lights from single object observed in sky near Franklin&#44 NY,12/16/2005,42.340637,-75.16516899999999
13886,11/23/2005 21:30,bodie state park,ca,us,sphere,7200,2 hours,Multi-colored erratic&#44 fast moving sphere (remaining in same general area) observed over Mono Lake&#44 Ca.,12/16/2005,38.202546000000005,-119.01640400000001
13888,11/23/2006 11:00,ettalong beach nsw (australia),,au,cigar,30,30 seconds,It was a clear Summer day and I had no alcohol in my system.,3/8/2007,-33.513633,151.335513
13895,11/23/2006 19:00,barnala sherpur (village) (india),,in,triangle,1800,30min,long cyclinderical or triangle ufo sighted in India,12/7/2006,30.438101,75.70516500000001
13898,11/23/2006 21:00,bellchester,mn,us,unknown,1,1 second,Streaking orange light made no sound at all.,8/7/2007,44.3683,-92.511298
13905,11/23/2007 15:25,interstate 84 eastbound; exit 147,or,,changing,180,3 minutes,Dark smoke-like object seen under cloud cover,11/28/2007,0.0,0.0
13906,11/23/2007 16:50,chantilly/centreville,va,us,other,360,6 mintues,Northern Virginia Brightest object in daylight sky moved faster then any object for 5 minutes&#44 mulitple witnesses,4/17/2008,38.922549,-77.417501
13913,11/23/2008 01:13,thornton-cleveleys (uk/england),,gb,changing,720,12 mins,YOU MUST READ THIS&#33&#33&#33&#33&#33&#33&#33 This could not of been 5 planes they were far too close to each other........,1/10/2009,53.873712,-3.021371
13928,11/23/2008 20:30,suva (fiji),,fj,oval,3600,1 hour,Two bright light objects distinctive from stars or plane. they were stationary most of the time but going up and down slowly. they brig,1/10/2009,-18.1416,178.4419
13936,11/23/2009 22:20,bainbridge island,wa,us,changing,60,1 minute,UFO with changing shape and erraticly fluid movements appears in view and leaves&#44 shortly followed by an unmarked black helicopter.,12/12/2009,47.626208,-122.521245
13939,11/23/2010 06:30,monument valley,ut,us,changing,420,7 minutes,looked like a worm in the sky oozing off itself revealing its true shape over seven minutes.,1/5/2011,37.004245000000004,-110.173478
13944,11/23/2011 00:45,bridgewater,nj,us,,300,4-5 minutes,EXPLAINED: Bright lights in Somerset county NJ on 11/23/11,6/5/2012,40.623333,-74.601111
13945,11/23/2011 01:32,geoje island (south korea),ca,us,fireball,4,3-4 sec,2 Fireballs Blaze through sky simultaneously,12/12/2011,36.778261,-119.41793200000001
13948,11/23/2011 12:35,bridgewater,nj,us,other,180,3 min,Exceptionally bright lights turned night time to day time for 4 min,12/12/2011,40.623333,-74.601111
13993,11/23/2013 20:45,glendale,,,triangle,420,5-7 minutes,Triangular ufo.,12/2/2013,0.0,0.0
13998,11/23/2013 21:45,palm habor,fl,us,sphere,240,4 minutes,Silent Orange sphere.,12/2/2013,28.078072,-82.763713
13999,11/23/2013 22:00,kenya,,ke,,0,,I don&#39t know if anybody looks up in the sky at night in Nairobi.What are those very close and bright lights . When you spot them y,12/2/2013,-0.023559,37.906193
14001,11/24/1973 20:00,florida (central),fl,us,oval,300,5 minutes,While driving to NY with a friend&#44observed a oval shape craft 40&#39 in diameter &#44stood 30&#39 of the ground.,11/26/2003,27.664827000000002,-81.515754
14027,11/24/1998 23:15,bitterroot valley,mt,us,light,600,10 minutes,Very large and very bright light in the SSE sky over the Mountain Range.,1/28/1999,46.491684,-114.0913
14030,11/24/1999 20:05,tri-cities,wa,us,circle,5,5seconds,fireball nnw of city as bright as a streetlight falling at a,11/30/1999,46.235,-119.223301
14038,11/24/2000 23:00,conyers/walton area,ga,us,flash,0,fiashing light,On 11-23-00 7 of us seen 3 lights &#44 one light would be in the middle as two others would circle around the center one then they would a,12/2/2000,32.165622,-82.900075
14044,11/24/2001 20:00,bicester&#44 oxfordshire (uk/england),,gb,circle,60,1 minute,STATIONARY CIRCLE OF 12 EQUIDISTANT WHITE LIGHTS.,12/5/2001,51.899603000000006,-1.15359
14055,11/24/2003 17:50,guwahati (india),,in,light,300,5 min,2 objects in a ziz zag pattern crossing the clear evening sky over Guwahati state capital of Assam India,11/26/2003,26.144517,91.736237
14065,11/24/2004 20:00,nevada (above; in flight; 37000 ft.),nv,us,unknown,2400,40 minutes,Starlike objects made impossible maneuvers while I was on a flight at 37000 feet,3/19/2009,38.802609999999994,-116.419389
14067,11/24/2004 21:00,western shore (canada),ns,ca,light,5400,1.5 hours,I observed a bright light off in a distance over the water. The object would steadily and slowly move over the ocean and over oak islan,12/3/2004,44.531403000000005,-64.314502
14069,11/24/2005 00:15,port st. lucie,fl,us,light,4500,1 hr  15 min,Large white light W/red &amp; green--Thought might be aircraft in trouble due to eratic movement(left&#44right&#44up&#44down)--then small red&#44 green,12/16/2005,27.273049,-80.358226
14082,11/24/2006 02:45,camp creek,wv,us,flash,60,one min,Flash of bright narrow green light following an object.,12/7/2006,37.509592,-81.109905
14085,11/24/2006 05:00,afton,va,us,,3600,1 hour,THe whole sky turned Blood Red including the clouds coming from atop of them  for an Hour,12/7/2006,38.704282,-77.22776
14095,11/24/2006 18:45,new delhi (india),,in,circle,1,1o seconds,I was smoking ouside my office gallery. I saw a bright star like object in the sky. I thought it is an aeroplane. suddenly the light we,12/7/2006,28.635308000000002,77.22496
14105,11/24/2007 21:20,san jose (costa rica),,,triangle,1800,30 minutes +,colors changed from orange to white to yellow. first appeared starlike&#44 but moved generally east to west&#44 but also moved sideways over,11/28/2007,0.0,0.0
14109,11/24/2008 19:00,phenix city &amp; columbus&#44ga,al,us,light,300,5 minutes,Many slow moving lights moving in the same direction crossing two cities.,1/10/2009,32.507757,-85.05090799999999
14118,11/24/2009 18:10,ralleigh,nc,us,triangle,600,10 min,v-shaped object with white and red flashing lights moving slowly over falls lake,12/12/2009,35.77959,-78.63817900000001
14120,11/24/2009 18:40,ft. campbell,ky,us,light,20,20 seconds,several lights&#44 one yellow&#44 the others red&#44 traveling at extreme speeds over Kentucky military base,2/14/2010,36.663447,-87.47739
14154,11/24/2011 22:00,playa del carmen,,mx,light,180,three minutes,Three sets of three red-coral neon lights in line&#44 &quot;following&quot; one another&#44 from mainland crossing to Cozumel island&#44 in M&eacute;xico,12/12/2011,20.629559,-87.073885
14155,11/24/2011 22:07,naguabo (puerto rico),,,triangle,3600,1 hour+,Red/white/green flickering stationary triangular object over ocean,12/12/2011,0.0,0.0
14174,11/24/2012 21:45,sandy,ut,us,unknown,120,2 minutes,Traveling white light shut down; blue light turned on and shot straight up and then came back down.,12/20/2012,40.5725,-111.85972199999999
14184,11/24/2013 17:00,brownstown,mi,us,sphere,30,30 seconds,White sphere over SE Michigan seen from Brownstown.,12/2/2013,42.126115999999996,-83.257233
14202,11/25/1953 04:25,lackland air force base near aviation cadet barracks,tx,us,disk,180,3 minutes,When I was in preflight for pilot training at Lackland AFB just before Xmas we were standing in formation for reveille we all saw a sau,12/2/2000,31.968598999999998,-99.901813
14205,11/25/1974 21:00,west milton,oh,us,circle,600,10 minutes,Two orange globes traveling slowly north to south.,9/12/2003,41.106606,-80.965002
14207,11/25/1975 23:00,unspecified location in wv,wv,us,triangle,600,10 min,Mercedes shaped red UFO,11/21/2010,38.597626,-80.454903
14208,11/25/1976 20:20,virginia (western part; rural?),va,us,fireball,120,2 minutes,White light above cloud cover speed about 3000 mph;the fiery ball desending at a rate of 50 mph.,7/28/2010,37.431573,-78.656894
14211,11/25/1981 22:00,angleton &amp; pearland (between),tx,us,sphere,600,10 minutes,Driving to Galveston @ 10 p.m. Nov. of `81&#44 I saw 100s of saucers&#44 got out of car and pointed upwards but 3 other cars wouldn&#39t stop.,3/19/2009,29.563567,-95.286047
14216,11/25/1989 22:00,monroe/bastrop,la,us,unknown,3600,1 hour,something flying in and out of formation within a triangle shaped constellation,6/18/2004,32.746204,-91.978289
14219,11/25/1995 00:42,wishkah river,wa,us,,0,,Experienced MUFON investigator/law officer relays rpt that woman&#44 son witnessed bizarre bright light&#44 green beam near home.,11/2/1999,47.034124,-123.789129
14221,11/25/1995 22:30,stonglandseidet/m&oslash;lnelva (norway),,no,fireball,0,,A burning object&#44 with the speed ofthe light&#44came from onwhere. stoped&#44turned right  and left&#44then left this earth??,2/18/2001,69.085278,17.172222
14229,11/25/1997 22:21,right outside the maine state border,nh,us,crescent,10,5-10 sec.,Two people driving northbound on Rt. 95 near the New Hampshire/Maine border witness an &quot;almost crescent moon&quot;-shaped object hovering in,6/2/1998,43.193852,-71.572395
14233,11/25/1998 21:15,lee&#39s summit,mo,us,other,15,15 seconds,sitting on ground in urban area.  layed back to look up at orion area of sky&#44 towards the east.  Large dull brown triangle/boomerage sh,4/2/1999,38.910841,-94.382172
14249,11/25/2001 19:53,ms (brazil),,us,,0,,-----Mensagem Original----- De: Flavio Mori Para: felicio-sp Enviada em: domingo&#44 25 de novembro de 2001 19:53 Assunto: disco voador UF,12/5/2001,32.354668,-89.398528
14250,11/25/2001 20:00,bramptom,mi,us,circle,120,several minutes,Wife and I in our hot tub waking to a disc shaped object and flashing light,10/31/2003,45.931352000000004,-87.07125
14255,11/25/2001 20:45,palo alto/stanford,ca,us,oval,5,5 seconds?,Bright blue oval-shaped glowing object hovering then proceeding downward,1/11/2002,37.424106,-122.166076
14279,11/25/2004 23:30,san marcos &amp; escondido,ca,us,light,120,2 minutes,SMALL ORANGE LIGHT - flew low over Hwy 78 and then South along I-15 (nearly overhead) with seemingly no visible craft attacted to it.,12/3/2004,33.144290999999996,-117.095556
14292,11/25/2005 23:00,eaton-muncie,in,us,diamond,0,,Witnessed in Muncie&#44In a bright diamond shaped ufo- moved in all ways&#44 then within a blink of an eye it vanished.,12/16/2005,40.164326,-85.348378
14294,11/25/2006 00:30,roxborough,nc,us,light,180,3 minutes,Red light over NC,12/7/2006,36.393752,-78.982788
14298,11/25/2006 06:30,san bernadino mtns. (twin peaks),ca,us,triangle,40,40 sec.,Trinangle changes shapes and takes off,12/7/2006,34.125566,-116.876415
14304,11/25/2006 20:00,gulf beeze,fl,us,unknown,21600,early evening until dawn,One of the more beautiful stars I had seen.   ((NUFORC Note:  Probably a sighting of Sirius&#44 we suspect&#44 or of some other star.  PD)),12/7/2006,30.357144,-87.163857
14311,11/25/2007 22:10,pauls valley/maysville (between; highway 19),ok,us,unknown,15,15 sec,Two large bright white lights hovering over tree line on HWY 19&#44 between Pauls Valley and Maysville.,11/28/2007,34.817299,-97.40586
14322,11/25/2008 20:00,petrinja (croatia),,hr,light,900,15 minutes,An unknown light/object over a hill in Petrinja,1/10/2009,45.442254,16.276858999999998
14323,11/25/2008 21:00,n. cape may,nj,us,triangle,600,10 minutes,Military planes chaseing UFO,1/10/2009,38.982057,-74.957952
14325,11/25/2009 08:03,dubai (united arab emirates),,ae,other,0,unknown,a black bean shaped object floating in the sky .,12/12/2009,25.047664,55.181741
14347,11/25/2011 05:30,mullingar (ireland),,ie,unknown,0,photo,I can&#39t figure out what I have been witnessing&#33&#33,12/12/2011,53.525932999999995,-7.338138000000001
14349,11/25/2011 17:00,amed,,tr,disk,900,15 minutes,Silent ufo hanging over the ocean bali,12/12/2011,37.91441,40.230629
14350,11/25/2011 17:45,madison township,oh,us,rectangle,0,,Rectangular pair of light above the trees in madison ohio,12/12/2011,39.528851,-84.42777
14371,11/25/2012 19:35,nassau (bahamas),,,light,300,5 minutes,Saw a floating orange-red round light in western Nassau&#44 Bahamas&#44 November 25&#44 2012&#44 7:30 pm.,12/20/2012,0.0,0.0
14379,11/25/2012 24:00,bhubaneswar (india),,in,other,120,1-2 minutes,While our games period was going on&#44 we observed a very peculiar shaped flying object. It was of black color with a shield of aura arou,12/20/2012,20.296059,85.82454
14381,11/25/2013 13:00,island of the sun (bolivia),,,sphere,0,,Lake Titicaca purple UFO above island of the moon.,12/2/2013,25.082252,-77.268263
14398,11/26/1971 20:02,sundsanvik (sweden),,no,disk,600,10min,Golden Light-White Syncron Light-Ruby Red Cloud-Dark Blue Star Light,3/10/2011,60.375551,6.142884
14415,11/26/1998 22:30,st. marys&#44 ontario (canada),on,,rectangle,300,5 min.,It stopped and hovered silently for about 2 min.,12/23/2002,0.0,0.0
14423,11/26/2000 21:15,progresso,tx,us,unknown,300,5min,object being chased,12/2/2000,26.092299,-97.957224
14434,11/26/2002 17:00,dhahran (saudi arabia),,sa,circle,600,10 minutes,A very bright circular light hovering for about ten minutes and then vanishing in a split second.,12/23/2002,26.266666999999998,50.15
14437,11/26/2002 19:00,spanish fork canyon,ut,us,disk,5,3-5 seconds,green disc crash landed on top of billies mountain,4/27/2004,40.083845000000004,-111.59603
14446,11/26/2003 10:45,sellic,wa,us,light,5,5 sec,0NE OBJECT&#44 VERY HI 40&#44000FT TINY .  MOVED AND STOPED THREE TIMES IN (? 20 MILE+ JUMPS)BRIGHT DOT. NO COLOR THEN WYGGLED AND DISAPPERED,12/19/2003,47.375658,-121.868444
14448,11/26/2003 17:00,cancun (mexico),,mx,,1200,20 minutes,WAS  JUST BEFORE SUNSET&#44  AIRCRAFT  MIDLE ALTITUDE&#44 FLYING FROM NORTH EAST TO SOUT WEST APERA LIKE A SPACE CRAFT  ENTERING THE ATHMOSFE,12/9/2003,21.161908,-86.851528
14455,11/26/2004 05:00,seaford/millsboro (from/to)millsboro&#44 to rehobot,de,gb,light,2400,40 minutes or more,Light followed car from start of journey to destination&#44 stopping when vehicle stopped and so forth.,12/14/2004,50.773467,0.101108
14456,11/26/2004 11:00,gifford national forest,wa,us,,2400,one hour,Unknow shape in forest,12/3/2004,46.163663,-121.565781
14457,11/26/2004 13:00,uk/england,,gb,oval,420,7 minutes,3 oval shaped ships with bright lights/beams,12/3/2004,52.355518,-1.17432
14483,11/26/2006 23:30,hervery bay (australia),,au,unknown,3,3 seconds,Extremely Bright Flash Of light at night,3/19/2009,-25.289619000000002,152.830916
14484,11/26/2007 00:00,jalgaon (india),,in,fireball,60,1 minute,my mom&#44 me&#44 my dog we were in large open ground. we r walking there.we saw that FireBall in the sky direction of south side.that fire b,3/4/2008,21.0167,75.5667
14495,11/26/2008 15:30,i-355 and 159th st,il,us,light,8,5 - 8 sec,Bright flash of light seen traveling southbnd on I-355 in Illinois during sunny day.,1/10/2009,41.600807,-87.608358
14503,11/26/2009 06:25,pebble beach/carmel,ca,us,disk,900,15 minutes,The craft flew for at least fifteen minutes&#44 often separating into different lights&#44 made whirring noises&#44 and flew in erratic patterns,12/12/2009,36.566389,-121.94666699999999
14516,11/26/2009 22:00,lehigh,fl,us,light,0,,From our bedroom window  a light shooting across the sky cought  my husband&#39s eye. it stopped under the big dipper group of stars and i,12/12/2009,26.62535,-81.624803
14541,11/26/2012 19:47,durban (south africa),,za,circle,0,going on for a while and,2 crafts that flash dramatically.,12/20/2012,-29.85868,31.02184
14559,11/26/2013 19:30,brandon,,,circle,0,5,Bright orange balls flying north over Brandon&#44 Florida&#44 at speeds much faster than any jet.,12/2/2013,0.0,0.0
14560,11/26/2013 20:09,dennisport,ma,us,disk,0,,A sideways disk made up of green blue yellow and red shot down making a big sound.,12/2/2013,41.658445,-70.128629
14561,11/26/2013 20:09,dennisport,ma,us,disk,0,,We heard a sound&#44 then a colorfful object shot out the sky. The object was a disk with green&#44 red&#44 yellow&#44 blue and purple.,12/2/2013,41.658445,-70.128629
14566,11/27/1956 22:00,painsville/willoughby/over lake erie,oh,us,rectangle,0,continuous,11/12-1956 9/10PM Painesville/Willoughby OH over Lake Erie Rectangle  continuous void 5x9 black mirrored window like.,4/27/2004,42.066885,-81.33994100000001
14567,11/27/1975 16:30,reno/stead,nv,us,disk,300,5 min,Disk shaped craft hovering above house in Stead&#44 Nevada,12/19/2003,39.660829,-119.87413400000001
14568,11/27/1976 15:00,stead nevada (outside of reno),nv,us,disk,300,3-5min,It was Thanksgiving 1975 or 76. When I came out of our house it was hovering over our neighbors one story house. It was daylight and I,1/28/1999,39.660829,-119.87413400000001
14569,11/27/1977 19:06,jones/jasper co. line&#44 hwy.15n,ms,,other,180,3min.,3 objects 90 ft. tall . observed from 270 ft. away. objects were 2 blue pyrmids pointing into red ball&#44 shooting shafts of  white light,9/13/2002,0.0,0.0
14570,11/27/1978 19:00,baileyville,me,,light,10800,3 hours,My ex and I was coming home from his parents house and I was about ready to give birth to my first son.  We stopped at a pull off a mil,3/23/2004,0.0,0.0
14583,11/27/1995 23:00,fort morgan,co,,,7200,2 hrs.,Woman reports a very bright&#44 colorful&#44 stationary object &quot;below the Belt of Orion.&quot;  (Possible flickering star??),11/2/1999,0.0,0.0
14596,11/27/1998 24:00,gulf of california camping&#44 baja (mexico),,,unknown,0,all night,Red&#44 white&#44 green flashing light in two bright objects on opposite sides of ORIONS BELT in night sky. Geosynchronous satellites?,2/16/1999,0.0,0.0
14598,11/27/1999 08:20,moram (uk/scotland),,in,sphere,300,5 mins,Large sphere floating in two halfs then moving together before moving south.,11/30/1999,13.171641000000001,78.693053
14609,11/27/2000 07:11,iceland (approximately; over water),,is,fireball,1200,20 mins,unusual lights over oceans,12/2/2000,64.96305100000001,-19.020835
14610,11/27/2000 11:00,siedlce (poland),,pl,diamond,40,40sec,It was a shock for my and my friends. I&quot;ve never seen such a thing&#33,12/2/2000,52.167603,22.290164
14626,11/27/2002 16:00,turks (and caicos),,gb,unknown,0,,This is a link to a cnn.com report on a mysterious contrail.,12/23/2002,51.927751,0.024258000000000002
14629,11/27/2002 24:00,spanish fork canyon,ut,us,disk,5,3-5 sec.,a dark green disk crashed on the top of billy&#39s mountain.,12/19/2003,40.083845000000004,-111.59603
14642,11/27/2004 13:35,republic of ireland,,ie,unknown,420,7 mins,Alien sighting.  ((NUFORC Note:  Possibly not a serious report.  We cannot be certain.  PD)),6/20/2005,53.41291,-8.243889999999999
14648,11/27/2004 18:00,kern,tx,us,formation,30,30 sec.,Witnesses to a cluster of lights passing overhead very quickly.,12/3/2004,27.86352,-97.667457
14672,11/27/2007 01:30,suwanee/gwinnett county,ga,us,light,3600,1 + hours,Flashing craft appears like a star&#44 moving jerkily and stayed in a portion of the sky.  ((NUFORC Note:  Sirius??  PD)),11/28/2007,34.05149,-84.0713
14679,11/27/2007 21:10,rabun gap,ga,us,light,900,15 min,white light&#44 high altitude viewed in the east moving west&#44 2 smaller lights seperate travel west and SW.,11/28/2007,34.9467,-83.430327
14680,11/27/2007 21:30,san diego area (on highway; beside camp pendleton),ca,us,,60,1 minute,Man and wife witness strange object&#44 with multiple blue lights&#44 pass over highway&#44 over Camp Pendleton&#44 and out to sea.,11/28/2007,32.7319,-117.19731200000001
14682,11/27/2007 22:00,kolar (bangalore) (india),,in,light,7200,2 hours,bright objects changing colour in the sky.  ((NUFORC Note:  Sirius.  PD)),11/28/2007,13.135745000000002,78.132561
14710,11/27/2009 22:30,dublin (ireland),,,formation,0,10,7-8 reddish orange orbs forming a triangle zoomed across the sky,12/12/2009,0.0,0.0
14711,11/27/2009 23:00,queensland (australia),,au,circle,300,5mins,Another fireball report,1/24/2012,-20.917574,142.702796
14712,11/27/2010 02:00,west hills,ca,ca,chevron,600,10 minutes,UFO sighting over main street,1/5/2011,43.681611,-80.027781
14724,11/27/2011 19:10,seoul (south korea),,kr,fireball,10,10 sec.,Low flying orange ball flies over Seoul&#44 disappears,12/12/2011,37.566534999999995,126.97796899999999
14733,11/27/2012 18:50,auburn/federal way,wa,us,triangle,300,3-5 minutes,Three red lights become huge triangle shape over Auburn/Federal Way.,12/20/2012,47.322516,-122.320609
14742,11/27/2013 13:11,oklahoma city/weatland,ok,us,flash,45,45 seconds,Bright ball of light observed near Hobby Lobby warehouse.,12/2/2013,35.397778,-97.652222
14754,11/28/1978 18:00,arvana-lamesa,tx,us,disk,900,15 min,UFO over Lamesa&#44 Texas cotton gin,10/30/2006,32.809821,-101.914879
14755,11/28/1978 24:00,arvana/lamesa,tx,us,disk,0,,UFO over cotton gin in a town called Arvana&#44 Texas just NE of  Lamesa&#44 Texas.,10/30/2006,32.809821,-101.914879
14756,11/28/1983 23:00,lake okeechoobee,fl,us,oval,600,10 minutes,Pulsating white lighted craft hoverd over us while hunting.,12/2/2013,26.923519,-80.854385
14757,11/28/1989 18:35,peace vally,mo,us,egg,90,90 seconds.,We saw orange-white balls of light&#44 approximately 40o above the horozon&#44 slightly to the north-west of our house.,7/23/2000,36.840348999999996,-91.744701
14773,11/28/1999 20:00,rachel/las vegas,nv,us,sphere,8,5-8 seconds,Driver and passenger see a huge brilliant white ball of light that descends SE to S near the Groom Lake area on Sunday evening at 8PM&#44,11/30/1999,36.180267,-115.31610800000001
14778,11/28/1999 23:15,paphos,,cy,sphere,30,30 seconds,Nothing man made can be so big and fly so slow&#44make no sound and make night into day.,8/5/2001,34.772013,32.429737
